track_name,lyrics,album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity
Everything Has Changed,all i knew this morning when i woke is i know something now know something now i didn t before and all i ve seen since 18 hours ago is green eyes and freckles and your smile in the back of my mind making me feel like i just want to know you better know you better know you better now i just want to know you better know you better know you better now i just want to know you better know you better know you better now i just want to know you know you know you cause all i know is we said hello and your eyes look like coming home all i know is a simple name everything has changed all i know is you held the door you ll be mine and i ll be yours all i know since yesterday is everything has changed and all my walls stood tall painted blue and i ll take them down take them down and open up the door for you and all i feel in my stomach is butterflies the beautiful kind making up for lost time taking flight making me feel like i just want to know you better know you better know you better now i just want to know you better know you better know you better now i just want to know you better know you better know you better now i just want to know you know you know you cause all i know is we said hello and your eyes look like coming home all i know is a simple name everything has changed all i know is you held the door you ll be mine and i ll be yours all i know since yesterday is everything has changed come back and tell me why i m feeling like i ve missed you all this time and meet me there tonight and let me know that it s not all in my mind i just want to know you better know you better know you better now i just want to know you know you know you cause all i know is we said hello and your eyes look l ike coming home all i know is a simple name everything has changed all i know is you held the door you ll be mine and i ll be yours all i know since yesterday is everything has changed all i know is we said hello so dust off your highest hopes all i know is pouring rain and everything has changed all i know is a new found grace all my days i ll know your face all i know since yesterday is everything has changed,3wIMFmK0VylpfH0tm6nEeU,Red,https://i.scdn.co/image/d2e3717dba253e1d02aeff23d3e184a3bc1fcfaa,2012-10-22,2012-10-22,64,2uTPsKM2XaWCNkpLmTPOHx,0.624,0.474,F#,-6.63,major,0.0284,0.341,2.39e-6,0.335,0.455,80.018,245413,4,F# major,64
Fearless,there s something bout the way the street looks when it s just rained there s a glow off the pavement you walk me to the car and you know i wanna ask you to dance right there in the middle of the parking lot yeah oh yeah we re driving down the road i wonder if you know i m trying so hard not to get caught up now but you re just so cool run your hands through your hair absent mindedly making me want you and i don t know how it gets better than this you take my hand and drag me head first fearless and i don t know why but with you i d dance in a storm in my best dress fearless so baby drive slow til we run out of road in this one horse town i wanna stay right here in this passenger s seat you put your eyes on me in this moment now capture it remember it and i don t know how it gets better than this you take my hand and drag me head first fearless and i don t know why but with you i d dance in a storm in my best dress fearless well you stood there with me in the doorway my hands shake i m not usually this way but you pull me in and i m a little more brave it s the first kiss it s flawless really something it s fearless oh yeah and i don t know how it gets better than this you take my hand and drag me head first fearless and i don t know why but with you i d dance in a storm in my best dress fearless and i don t know how it gets better than this you take my hand and drag me head first fearless and i don t know why but with you i d dance in a storm in my best dress fearless oh oh oh yeah,43OpbkiiIxJO8ktIB777Nn,Fearless,https://i.scdn.co/image/c7e89dd86429ec06f5021ac4c824b90565dcc507,2008-11-11,2008-11-11,55,3F6czr26ZwGU5O5CHY04Ma,0.588,0.694,F,-4.324,major,0.028,0.0434,0,0.293,0.51,100.029,242e3,4,F major,50
Fifteen,you take a deep breath and you walk through the doors it s the morning of your very first day you say hi to your friends you ain t seen in a while try and stay out of everybody s way it s your freshman year and you re going to be here for the next four years in this town hoping one of those senior boys will wink at you and say you know i haven t seen you around before because when you re fifteen and somebody tells you they love you you re going to believe them and when you re fifteen feeling like there s nothing to figure out well count to ten take it in this is life before you know who you re going to be fifteen you sit in class next to a redhead named abigail and soon enough you re best friends laughing at the other girls who think they re so cool we ll be outta here as soon as we can and then you re on your very first date and he s got a car and you re feeling like flying and your momma s waiting up and you re thinking he s the one and you re dancing round your room when the night ends when the night ends because when you re fifteen and somebody tells you they love you you re going to believe them when you re fifteen and your first kiss makes your head spin round but in your life you ll do things greater than dating the boy on the football team but i didn t know it at fifteen when all you wanted was to be wanted wish you could go back and tell yourself what you know now back then i swore i was going to marry him someday but i realized some bigger dreams of mine and abigail gave everything she had to a boy who changed his mind and we both cried because when you re fifteen and somebody tells you they love you you re going to believe them and when you re fifteen don t forget to look before you fall i ve found time can heal most anything and you just might find who you re supposed to be i didn t know who i was supposed to be at fifteen la la la la la la la la la la la la la la la la la la la la la la la la la la your very first day take a deep breath girl take a deep breath as you walk through the doors,43OpbkiiIxJO8ktIB777Nn,Fearless,https://i.scdn.co/image/c7e89dd86429ec06f5021ac4c824b90565dcc507,2008-11-11,2008-11-11,55,3M0w3fhdXByHLCNAoi5c9G,0.553,0.655,G,-4.246,major,0.0259,0.0839,0,0.143,0.212,95.407,294347,4,G major,49
Forever & Always,once upon a time i believe it was a tuesday when i caught your eye and we caught onto something i hold onto the night you looked me in the eye and told me you loved me were you just kidding cause it seems to me this thing is breaking down we almost never speak i don t feel welcome anymore baby what happened please tell me cause one second it was perfect now you re halfway out the door and i stare at the phone he still hasn t called and then you feel so low you can t feel nothing at all and you flashback to when he said forever and always oh and it rains in your bedroom everything is wrong it rains when you re here and it rains when you re gone cause i was there when you said forever and always was i out of line did i say something way too honest made you run and hide like a scared little boy i looked into your eyes thought i knew you for a minute now i m not so sure so here s to everything coming down to nothing here s to silence that cuts me to the core where is this going thought i knew for a minute but i don t anymore and i stare at the phone he still hasn t called and then you feel so low you can t feel nothing at all and you flashback to when he said forever and always oh and it rains in your bedroom everything is wrong it rains when you re here and it rains when you re gone cause i was there when you said forever and always you didn t mean it baby i don t think so oh back up baby back up did you forget everything back up baby back up did you forget everything cause it rains in your bedroom everything is wrong it rains when you re here and it rains when you re gone cause i was there when you said forever and always oh i stare at the phone he still hasn t called and then you feel so low you can t feel nothing at all and you flashback to when we said forever and always and it rains in your bedroom everything is wrong it rains when you re here and it rains when you re gone cause i was there when you said forever and always you didn t mean it baby you said forever and always yeah,43OpbkiiIxJO8ktIB777Nn,Fearless,https://i.scdn.co/image/c7e89dd86429ec06f5021ac4c824b90565dcc507,2008-11-11,2008-11-11,55,1zxrcAk6eiytfavqriMcKT,0.608,0.801,A#,-4.881,major,0.0529,0.0798,0,0.108,0.552,128.046,225333,4,A# major,48
Getaway Car,no nothing good starts in a getaway car it was the best of times the worst of crimes i struck a match and blew your mind but i didn t mean it and you didn t see it the ties were black the lies were white in shades of gray in candlelight i wanted to leave him i needed a reason x marks the spot where we fell apart he poisoned the well i was lyin to myself i knew it from the first old fashioned we were cursed we never had a shotgun shot in the dark oh you were drivin the getaway car we were flyin but we never get far don t pretend it s such a mystery think about the place where you first met me ridin in a getaway car there were sirens in the beat of your heart i shoulda known i d be the first to leave think about the place where you first met me in a getaway car oh oh oh no they never get far oh oh ahh no nothing good starts in a getaway car it was the great escape the prison break the light of freedom on my face but you weren t thinkin and i was just drinkin well he was runnin after us i was screamin go go go but with three of us honey it s a sideshow and a circus ain t a love story and now we re both sorry we re both sorry x marks the spot where we fell apart he poisoned the well every man for himself i knew it from the first old fashioned we were cursed it hit you like a shotgun shot to the heart oh you were drivin the getaway car we were flyin but we d never get far don t pretend it s such a mystery think about the place where you first met me ridin in a getaway car there were sirens in the beat of your heart shoulda known i d be the first to leave think about the place where you first met me in a getaway car oh oh oh no they never get far oh oh ahh no nothing good starts in a getaway car we were jet set bonnie and clyde oh oh until i switched to the other side to the other si i i i ide it s no surprise i turned you in oh oh cause us traitors never win i m in a getaway car i left you in a motel bar put the money in a bag and i stole the keys that was the last time you ever saw me oh drivin the getaway car we were flyin but we never get far don t pretend don t pretend it s such a mystery think about the place where you first met me ridin in a getaway car there were sirens in the beat of your heart shoulda known shoulda known i d be the first to leave think about the place where you first met me in a getaway car oh oh oh no they never get far oh oh ahh no nothing good starts in a getaway car i was ridin in a getaway car i was cryin in a getaway car i was dyin in a getaway car said goodbye in a getaway car ridin in a getaway car i was cryin in a getaway car i was dyin in a getaway car said goodbye in a getaway car,6DEjYFkNZh67HP7R9PSZvv,reputation,https://i.scdn.co/image/ae2edb70f5e67fc5f7f8f92b2b0f3e846699b447,2017-11-10,2017-11-10,79,0VE4kBnHJUgtMf0dy6DRmW,0.56,0.672,D,-6.662,major,0.15,0.00476,1.55e-6,0.0911,0.35,171.986,233627,4,D major,71
Girl At Home,don t look at me you got a girl at home and everybody knows that everybody knows that don t look at me you got a girl at home and everybody knows that everybody knows that i don t even know her but i feel a responsibility to do what s upstanding and right it s kinda like a code yeah and you ve been getting closer and closer and crossing so many lines and it would be a fine proposition if i was a stupid girl but honey i am no one s exception this i have previously learned so don t look at me you got a girl at home and everybody knows that everybody knows that don t look at me you got a girl at home and everybody knows that everybody knows that i see you turn off your phone now you ve got me alone and i say don t look at me you got a girl at home and everybody knows that everybody knows that i just want to make sure you understand perfectly you re the kind of man who makes me sad while she waits up you chase down the newest thing and take for granted what you have and it would be a fine proposition if i was a stupid girl and yeah i might go with it if i hadn t once been just like her so don t look at me you got a girl at home and everybody knows that everybody knows that don t look at me you got a girl at home and everybody knows that everybody knows that i see you turn off your phone now you ve got me alone and i say don t look at me you got a girl at home and everybody knows that everybody knows that call a cab lose my number you re about to lose your girl call a cab lose my number let s consider this lesson learned want to see you pick up your phone and tell her you re coming home don t look at me you got a girl at home and everybody knows that everybody knows that it would be a fine proposition if i hadn t once been just like her,3wIMFmK0VylpfH0tm6nEeU,Red,https://i.scdn.co/image/d2e3717dba253e1d02aeff23d3e184a3bc1fcfaa,2012-10-22,2012-10-22,64,675noegCrNWR2Ljtk9QZkx,0.731,0.589,F,-5.884,major,0.0283,0.322,0,0.141,0.648,125.073,220840,4,F major,46
Gorgeous,gorgeous you should take it as a compliment that i got drunk and made fun of the way you talk you should think about the consequence of your magnetic field being a little too strong and i got a boyfriend he s older than us he s in the club doing i don t know what you re so cool it makes me hate you so much i hate you so much whiskey on ice sunset and vine you ve ruined my life by not being mine you re so gorgeous i can t say anything to your face cause look at your face and i m so furious at you for making me feel this way but what can i say you re gorgeous you should take it as a compliment that i m talking to everyone here but you and you should think about the consequence of you touching my hand in a darkened room if you ve got a girlfriend i m jealous of her but if you re single that s honestly worse cause you re so gorgeous it actually hurts honey it hurts ocean blue eyes looking in mine i feel like i might sink and drown and die you re so gorgeous i can t say anything to your face cause look at your face and i m so furious at you for making me feel this way but what can i say you re gorgeous you make me so happy it turns back to sad there s nothing i hate more than what i can t have and you are so gorgeous it makes me so mad you make me so happy it turns back to sad yeah there s nothing i hate more than what i can t have guess i ll just stumble on home to my cats alone unless you wanna come along you re so gorgeous i can t say anything to your face cause look at your face and i m so furious at you for making me feel this way but what can i say you re gorgeous you make me so happy it turns back to sad there s nothing i hate more than what i can t have and you are so gorgeous it makes me so mad you re gorgeous you make me so happy it turns back to sad there s nothing i hate more than what i can t have you are so gorgeous it makes me so mad you re gorgeous,6DEjYFkNZh67HP7R9PSZvv,reputation,https://i.scdn.co/image/ae2edb70f5e67fc5f7f8f92b2b0f3e846699b447,2017-11-10,2017-11-10,79,1ZY1PqizIl78geGM4xWlEA,0.797,0.532,G,-6.861,major,0.147,0.0672,1.02e-5,0.227,0.454,92.024,209680,4,G major,75
Haunted,you and i walk a fragile line i have known it all this time but i never thought i d live to see it break it s getting dark and it s all too quiet and i can t trust anything now and it s coming over you like it s all a big mistake whoa holding my breath won t lose you again something s made your eyes go cold c mon c mon don t leave me like this i thought i had you figured out something s gone terribly wrong you re all i wanted c mon c mon don t leave me like this i thought i had you figured out can t breathe whenever you re gone can t turn back now i m haunted stood there and watched you walk away from everything we had but i still mean every word i said to you he will try to take away my pain and he just might make me smile but the whole time i m wishing it was you instead oh holding my breath won t see you again something keeps me holding onto nothing c mon c mon don t leave me like this i thought i had you figured out something s gone terribly wrong you re all i wanted c mon c mon don t leave me like this i thought i had you figured out can t breathe whenever you re gone can t turn back now i m haunted i know i know i just know you re not gone you can t be gone no c mon c mon don t leave me like this i thought i had you figured out something s gone terribly wrong won t finish what you started c mon c mon don t leave me like this i thought i had you figured out can t breathe whenever you re gone can t turn back now i m haunted oh oh oh oh oh oh oh oh oh you and i walk a fragile line i have known it all this time never ever thought i d see it break never thought i d see it,5MfAxS5zz8MlfROjGQVXhy,Speak Now,https://i.scdn.co/image/7c6317c312d12c72bb9f7c06ccd57e23bba178ea,2010-01-01,2010-01-01,58,28M2gifMU282QBM3fKajIS,0.424,0.937,F,-2.464,major,0.0578,0.108,0,0.151,0.395,161.944,242080,4,F major,45
Hey Stephen,hey stephen i know looks can be deceiving but i know i saw a light in you and as we walked we were talking i didn t say half the things i wanted to of all the girls tossing rocks at your window i ll be the one waiting there even when it s cold hey stephen boy you might have me believing i don t always have to be alone cause i can t help it if you look like an angel can t help it if i wanna kiss you in the rain so come feel this magic i ve been feeling since i met you can t help it if there s no one else mmm i can t help myself hey stephen i ve been holding back this feeling so i got some things to say to you i ve seen it all so i thought but i never seen nobody shine the way you do the way you walk way you talk way you say my name it s beautiful wonderful don t you ever change hey stephen why are people always leaving i think you and i should stay the same cause i can t help it if you look like an angel can t help it if i wanna kiss you in the rain so come feel this magic i ve been feeling since i met you can t help it if there s no one else mmm i can t help myself they re dimming the street lights you re perfect for me why aren t you here tonight i m waiting alone now so come on and come out and pull me near and shine shine shine hey stephen i could give you fifty reasons why i should be the one you choose all those other girls well they re beautiful but would they write a song for you cause i can t help it if you look like an angel can t help it if i wanna kiss you in the rain so come feel this magic i ve been feeling since i met you can t help it if there s no one else mmm i can t help myself cause i can t help it if you look like an angel can t help it if i wanna kiss you in the rain so come feel this magic i ve been feeling since i met you can t help it if there s no one else mmm i can t help myself myself can t help myself i can t help myself,43OpbkiiIxJO8ktIB777Nn,Fearless,https://i.scdn.co/image/c7e89dd86429ec06f5021ac4c824b90565dcc507,2008-11-11,2008-11-11,55,6wcFdMmiDscAhZJrcVFumx,0.834,0.539,F#,-7.279,major,0.0306,0.161,0,0.107,0.785,115.972,254320,4,F# major,47
Holy Ground,i was reminiscing just the other day while having coffee all alone and lord it took me away back to a first glance feeling on new york time back when you fit my poems like a perfect rhyme took off faster than a green light go hey you skip the conversation when you already know i left a note on the door with a joke we d made and that was the first day and darling it was good never looking down and right there where we stood was holy ground spinning like a girl in a brand new dress we had this big wide city all to ourselves we blocked the noise with the sound of i need you and for the first time i had something to lose and i guess we fell apart in the usual way and the story s got dust on every page but sometimes i wonder how you think about it now and i see your face in every crowd cause darling it was good never looking down and right there where we stood was holy ground tonight i m gonna dance for all that we ve been through but i don t wanna dance if i m not dancing with you tonight i m gonna dance like you were in this room but i don t wanna dance if i m not dancing with you it was good never looking down and right there where we stood was holy ground tonight i m gonna dance for all that we ve been through but i don t wanna dance if i m not dancing with you tonight i m gonna dance like you were in this room but i don t wanna dance if i m not dancing with you,3wIMFmK0VylpfH0tm6nEeU,Red,https://i.scdn.co/image/d2e3717dba253e1d02aeff23d3e184a3bc1fcfaa,2012-10-22,2012-10-22,64,3G6ottG6o476AhmSqh8NM3,0.612,0.819,A,-6.67,major,0.0809,0.0162,8.87e-4,0.0976,0.605,157.032,202960,4,A major,49
How You Get The Girl,uh uh uh uh uh uh uh uh uh uh stand there like a ghost shaking from the rain rain she ll open up the door and say are you insane say it s been a long six months and you were too afraid to tell her what you want want and that s how it works that s how you get the girl and then you say i want you for worse or for better i would wait forever and ever broke your heart i ll put it back together i would wait forever and ever and that s how it works that s how you get the girl girl oh oh oh oh and that s how it works that s how you get the girl girl remind her how it used to be be yeah yeah with pictures in frames of kisses on cheeks cheeks tell her how you must have lost your mind ooh ooh when you left her all alone and never told her why why and that s how it works that s how you lost the girl and now you say i want you for worse or for better i would wait forever and ever ever and ever broke your heart i ll put it back together i would wait forever and ever and that s how it works that s how you get the girl girl oh oh oh oh and that s how it works that s how you get the girl girl yeah yeah and you know oh oh oh oh oh oh oh oh oh oh that i don t want you to go oh oh remind me how it used to be pictures in frames of kisses on cheeks and say you want me yeah yeah and then you say i want you for worse or for better worse of for better i would wait forever and ever and ever broke your heart i ll put it back together i would wait forever and ever i want you forever and ever and that s how it works that s how you get the girl girl that s how it works and that s how it works that s how you get the girl girl get the girl that s how it works and that s how it works that s how you get the girl girl and that s how it works that s how you get the girl girl that s how it works that s how you got the girl,4uUAUqIfSomFTbbjGp3TYp,1989,https://i.scdn.co/image/d6c5c97ebdab865796bfe6df314399de09ad192a,2014-10-27,2014-10-27,44,5nU5Y20xKhavEai4qqbHl3,0.764,0.659,F,-6.136,major,0.0492,0.00463,0.00458,0.0915,0.525,119.982,247533,4,F major,31
I Almost Do,i bet this time of night you re still up i bet you re tired from a long hard week i bet you re sitting in your chair by the window looking out at the city and i bet sometimes you wonder about me and i just want to tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that everytime i don t i almost do i almost do i bet you think i either moved on or hate you cause each time you reach out there s no reply i bet it never ever occurred to you that i can t say hello to you and risk another goodbye and i just want to tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that everytime i don t i almost do i almost do oh we made quite a mess babe it s probably better off this way and i confess baby in my dreams you re touching my face and asking me if i d want to try again with you and i almost do and i just want to tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that everytime i don t i almost do i almost do i bet this time of night you re still up i bet you re tired from a long hard week i bet you re sittin in your chair by the window looking out at the city and i hope sometimes you wonder about me,3wIMFmK0VylpfH0tm6nEeU,Red,https://i.scdn.co/image/d2e3717dba253e1d02aeff23d3e184a3bc1fcfaa,2012-10-22,2012-10-22,64,1AoUVoRbeODBff8EnPEk3s,0.57,0.489,E,-7.232,major,0.0272,0.0221,9.44e-5,0.171,0.206,145.92,244560,4,E major,51
I Did Something Bad,i never trust a narcissist but they love me so i play em like a violin and i make it look oh so easy cause for every lie i tell them they tell me three this is how the world works now all he thinks about is me i can feel the flames on my skin crimson red paint on my lips if a man talks shit then i owe him nothing i don t regret it one bit cause he had it coming they say i did something bad then why s it feel so good they say i did something bad but why s it feel so good most fun i ever had and i d do it over and over and over again if i could it just felt so good good i never trust a playboy but they love me so i fly em all around the world and i let them think they saved me they never see it comin what i do next this is how the world works you gotta leave before you get left i can feel the flames on my skin he says don t throw away a good thing but if he drops my name then i owe him nothin and if he spends my change then he had it comin they say i did something bad then why s it feel so good they say i did something bad but why s it feel so good most fun i ever had and i d do it over and over and over again if i could it just felt so good good it just felt so good they re burning all the witches even if you aren t one they got their pitchforks and proof their receipts and reasons they re burning all the witches even if you aren t one so light me up light me up light me up light me up light me up go ahead and light me up light me up light me up light me up light me up light me up light me up light me up light me up they say i did something bad then why s it feel so good they say i did something bad but why s it feel so good most fun i ever had and i d do it over and over and over again if i could it just felt so good good oh you say i did something bad you say i did something bad why s it feel so good good so bad why s it feel so good why s it feel why s it feel so good bad it just felt so good good,6DEjYFkNZh67HP7R9PSZvv,reputation,https://i.scdn.co/image/ae2edb70f5e67fc5f7f8f92b2b0f3e846699b447,2017-11-10,2017-11-10,79,4svZDCRz4cJoneBpjpx8DJ,0.694,0.618,G#,-6.156,major,0.147,0.0653,1.97e-5,0.0756,0.307,83.045,238253,4,G# major,72
I Knew You Were Trouble,once upon a time a few mistakes ago i was in your sights you got me alone you found me you found me you found me i guess you didn t care and i guess i liked that and when i fell hard you took a step back without me without me without me and he s long gone when he s next to me and i realize the blame is on me cause i knew you were trouble when you walked in so shame on me now flew me to places i d never been till you put me down oh i knew you were trouble when you walked in so shame on me now flew me to places i d never been now i m lying on the cold hard ground oh oh trouble trouble trouble oh oh trouble trouble trouble no apologies he ll never see you cry pretends he doesn t know that he s the reason why you re drowning you re drowning you re drowning and i heard you moved on from whispers on the street a new notch in your belt is all i ll ever be and now i see now i see now i see he was long gone when he met me and i realize the joke is on me hey i knew you were trouble when you walked in so shame on me now flew me to places i d never been till you put me down oh i knew you were trouble when you walked in so shame on me now flew me to places i d never been now i m lying on the cold hard ground oh oh trouble trouble trouble oh oh trouble trouble trouble and the saddest fear comes creeping in that you never loved me or her or anyone or anything yeah i knew you were trouble when you walked in so shame on me now flew me to places i d never been till you put me down oh i knew you were trouble when you walked in so shame on me now flew me to places i d never been now i m lying on the cold hard ground oh oh trouble trouble trouble oh oh trouble trouble trouble,3wIMFmK0VylpfH0tm6nEeU,Red,https://i.scdn.co/image/d2e3717dba253e1d02aeff23d3e184a3bc1fcfaa,2012-10-22,2012-10-22,64,44dMahNEJeTOgOB26HdEcR,0.592,0.47,F#,-6.781,major,0.0393,0.00617,0,0.0419,0.639,154.083,219720,4,F# major,67
I Know Places,you stand with your hand on my waistline it s a scene and we re out here in plain sight i can hear them whisper as we pass by it s a bad sign bad sign something happens when everybody finds out see the vultures circling dark clouds love s a fragile little flame it could burn out it could burn out cause they got the cages they got the boxes and guns they are the hunters we are the foxes and we run baby i know places we won t be found and they ll be chasing their tails trying to track us down cause i i know places we can hide i know places i know places lights flash and we ll run for the fences let them say what they want we won t hear it loose lips sink ships all the damn time not this time just grab my hand and don t ever drop it my love they are the hunters we are the foxes and we run baby i know places we won t be found and they ll be chasing their tails trying to track us down cause i i know places we can hide i know places i know places they are the hunters we are the foxes and we run just grab my hand and don t ever drop it my love baby i know places we won t be found and they ll be chasing their tails trying to track us down cause i i know places we can hide i know places i know places they take their shots we re bulletproof i know places and you know for me it s always you i know places in the dead of night your eyes so green i know places and i know for you it s always me i know places,4uUAUqIfSomFTbbjGp3TYp,1989,https://i.scdn.co/image/d6c5c97ebdab865796bfe6df314399de09ad192a,2014-10-27,2014-10-27,44,3S9IvjroLrk0D8hBGOfC1h,0.595,0.763,C,-4.991,major,0.0661,0.231,0,0.2,0.507,159.959,195707,4,C major,29
I'm Only Me When I'm With You,friday night beneath the stars in a field behind your yard you and i are painting pictures in the sky and sometimes we don t say a thing just listen to the crickets sing everything i need is right here by my side and i know everything about you i don t wanna live without you i m only up when you re not down don t wanna fly if you re still on the ground it s like no matter what i do well you drive me crazy half the time the other half i m only trying to let you know that what i feel is true and i m only me when i m with you just a small town boy and girl living in a crazy world trying to figure out what is and isn t true and i don t try to hide my tears the secrets or my deepest fears through it all nobody gets me like you do and you know everything about me you say that you can t live without me i m only up when you re not down don t wanna fly if you re still on the ground it s like no matter what i do well you drive me crazy half the time the other half i m only trying to let you know that what i feel is true and i m only me when i m with you when i m with anybody else it s so hard to be myself only you can tell that i m only up when you re not down don t wanna fly if you re still on the ground it s like no matter what i do well you drive me crazy half the time the other half i m only trying to let you know that what i feel is true and i m only me who i wanna be well i m only me when i m with you with you uh huh yeah,7mzrIsaAjnXihW3InKjlC3,Taylor Swift,https://i.scdn.co/image/9f531a0aee2a96f2666774352b2cfb9284938dc3,2006-10-24,2006-10-24,61,0JIdBrXGSJXS72zjF9ss9u,0.544,0.912,G#,-3.612,major,0.0738,0.00543,7.15e-4,0.0976,0.629,143.983,213053,4,G# major,51
Innocent,i guess you really did it this time left yourself in your warpath lost your balance on a tightrope lost your mind trying to get it back wasn t it easier in your lunchbox days always a bigger bed to crawl into wasn t it beautiful when you believed in everything and everybody believed in you it s alright just wait and see your string of lights is still bright to me oh who you are is not where you ve been you re still an innocent you re still an innocent did some things you can t speak of but at night you live it all again you wouldn t be shattered on the floor now if only you had seen what you know now then wasn t it easier in your firefly catching days when everything out of reach someone bigger brought down to you wasn t it beautiful running wild til you fell asleep before the monsters caught up to you it s alright just wait and see your string of lights is still bright to me ohwho you are is not where you ve been you re still an innocent it s okay life is a tough crowd32 and still growing up now who you are is not what you did you re still an innocent time turns flames to embers you ll have new septembers every one of us has messed up too lives change like the weather i hope you remember today is never too late to be brand new it s alright just wait and see your string of lights is still bright to me oh who you are is not where you ve been you re still an innocent it s okay life is a tough crowd 32 and still growing up now who you are is not what you did you re still an innocent you re still an innocent lost your balance on a tightrope it s never too late to get it back,5MfAxS5zz8MlfROjGQVXhy,Speak Now,https://i.scdn.co/image/7c6317c312d12c72bb9f7c06ccd57e23bba178ea,2010-01-01,2010-01-01,58,5GPwN5iZ9ZMSXAkppj4Uvv,0.548,0.649,C#,-5.187,minor,0.027,0.197,1.56e-6,0.124,0.172,134.011,302253,4,C# minor,42
Invisible,she can t see the way your eyes light up when you smile she ll never notice how you stop and stare whenever she walks by and you can t see me wanting you the way you want her but you are everything to me i just want to show you she don t even know you she s never going to love you like i want to and you just see right through me if you only knew me we could be a beautiful miracle unbelievable instead of just invisible there s a fire inside of you that can t help but shine through she s never going to see the light no matter what you do and all i think about is how to make you think of me and everything that we could be i just want to show you she don t even know you she s never going to love you like i want to and you just see right through me if you only knew me we could be a beautiful miracle unbelievable instead of just invisible like shadows in a faded light oh we re invisible i just want to open your eyes and make you realize i just want to show you she don t even know you baby let me love you let me want you you just see right through me but if you only knew me we could be a beautiful miracle unbelievable instead of just invisible she can t see the way your eyes light up when you smile,7mzrIsaAjnXihW3InKjlC3,Taylor Swift,https://i.scdn.co/image/9f531a0aee2a96f2666774352b2cfb9284938dc3,2006-10-24,2006-10-24,61,5OOd01o2YS1QFwdpVLds3r,0.618,0.4,G,-5.485,major,0.0253,0.627,0,0.0943,0.189,96.052,203227,4,G major,47
I Wish You Would,it s 2 00 am in your car windows down you pass my street the memories start you say it s in the past you drive straight ahead you re thinking that i hate you now cause you still don t know what i never said i wish you would come back wish i never hung up the phone like i did and iwish you knew that i d never forget you as long as i live and i wish you were right here right now it s all good i wish you would it s 2 00 am in my room headlights pass the window pane i think of you we re a crooked love in a straight line down makes you want to run and hide then it makes you turn right back around i wish you would come back wish i never hung up the phone like i did and iwish you knew that i d never forget you as long as i live and i wish you were right here right now it s all good i wish you would i wish we could go back and remember what we were fighting for and i wish you knew that i miss you too much to be mad anymore and i wish you were right here right now it s all good i wish you would i i i i i i i wish i wish i i i i i i i i wish i wish i i i i i i i i wish i wish i you always knew how to push my buttons you give me everything and nothing this mad mad love makes you come running stand back where you stood i wish you would i wish you would i wish you would i wish you would i wish you would i wish you would i wish you would i wish you would 2 00 am here we are see your face hear my voice in the dark we re a crooked love in a straight line down makes you wanna run and hide but it made us turn right back around i wish you would come back wish i never hung up the phone like i did iwish you knew that i d never forget you as long as i live and i wish you were right here right now it s all good i wish you would i wish you would come back wish i never hung up the phone like i did iwish you knew that i d never forget you as long as i live and i wish you were right here right now it s all good i wish you would i wish we could go back and remember what we were fighting for and iwish you knew that i miss you too much to be mad anymore and i wish you were right here right now it s all good i wish you would i i i i i i i wish i wish i you always knew how to push my buttons you give me everything and nothing this mad mad love makes you come running stand back where you stood i wish you would i wish you would i wish you would i wish you would i wish you would i wish you would i wish you would i wish you would i wish you would i wish you would i wish you would,4uUAUqIfSomFTbbjGp3TYp,1989,https://i.scdn.co/image/d6c5c97ebdab865796bfe6df314399de09ad192a,2014-10-27,2014-10-27,44,4yH40E15Nwfcroj5Ofooo7,0.649,0.898,C,-5.963,major,0.0511,0.016,9.9e-5,0.109,0.503,118.027,207440,4,C major,30
